#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
82.0%,410000000,-59575.58091825299,47923.16377717396,-11652.41714107903,310.9449879199944,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
83.0%,415000000,-59522.51620000653,47745.29101756029,-11777.225182446244,309.7908770740048,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
84.0%,420000000,-59937.25076955609,48323.896089178044,-11613.354680378048,313.5451022299476,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
85.0%,425000000,-59799.73159402661,48012.57861133409,-11787.152982692525,311.52514774953033,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
86.0%,430000000,-59561.88902849011,47511.74722151924,-12050.141806970874,308.27554988950527,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
87.0%,435000000,-59513.859815061616,47732.89198896522,-11780.9678260964,309.71042713095346,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
88.0%,440000000,-60237.35870927625,47577.860360099934,-12659.498349176312,308.70451883598207,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
89.0%,445000000,-59741.81568998151,48177.9799778508,-11563.835712130705,312.59833912213304,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
90.0%,450000000,-59768.406443536805,47655.79221668816,-12112.614226848644,309.2101724342729,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
91.0%,455000000,-60141.47157090955,48335.738387431484,-11805.733183478063,313.62193987999257,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
92.0%,460000000,-59879.90960019879,47693.59531521192,-12186.314284986875,309.4554543206789,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
93.0%,465000000,-60532.226546228456,47582.238549675916,-12949.98799655254,308.73292631156414,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
94.0%,470000000,-59898.1632127171,47420.37385746639,-12477.789355250716,307.6826823210424,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
95.0%,475000000,-59876.60712474637,47754.24089977774,-12122.366224968631,309.8489475517999,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
96.0%,480000000,-60129.219579637574,48007.559118609875,-12121.660461027699,311.49257923815753,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
97.0%,485000000,-59396.621777475404,47330.76306258165,-12065.858714893751,307.10125101858307,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
98.0%,490000000,-60702.236872613954,47525.52011472825,-13176.716757885704,308.36491402523745,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
99.0%,495000000,-60219.88999933057,47828.718075468205,-12391.171923862363,310.3321857746156,5591.24383331643,0.03172428601938044,0,--
